Category,Word,Frequency
emergency,national,143
emergency,declare,98
emergency,federal,75
emergency,act,62
emergency,order,61
emergency,include,52
emergency,use,48
emergency,president,44
emergency,executive,43
emergency,fema,43
threat,threaten,204
threat,security,58
threat,foreign,57
threat,national,46
threat,people,46
threat,terrorist,45
threat,citizen,45
threat,america,41
threat,united,40
threat,continue,35
disaster,know,72
disaster,nafta,64
disaster,country,60
disaster,president,60
disaster,state,58
disaster,want,57
disaster,trump,52
disaster,major,50
disaster,deal,48
disaster,china,43
danger,dangerous,343
danger,people,72
danger,country,61
danger,know,54
danger,world,42
danger,criminal,40
danger,great,38
danger,city,35
danger,think,31
danger,thing,31
urgency,quickly,2
urgency,ask,2
urgency,choose,2
urgency,greatness,2
urgency,year,2
urgency,administration,2
urgency,historic,2
urgency,speed,2
urgency,confront,2
urgency,problem,2
peril,perilous,7
peril,american,5
peril,new,5
peril,danger,2
peril,ignore,2
peril,grave,2
peril,broad,2
peril,bright,2
peril,star,2
peril,fight,2
instability,people,2
instability,public,2
instability,terrorize,1
instability,innocent,1
instability,community,1
instability,border,1
instability,spread,1
instability,hemisphere,1
instability,week,1
instability,ago,1
terror,terrorist,397
terror,world,121
terror,terrorism,120
terror,number,78
terror,applause,73
terror,kill,70
terror,soleimani,66
terror,radical,61
terror,american,60
terror,people,58
progress,lot,80
progress,tremendous,53
progress,thank,51
progress,great,45
progress,think,38
progress,year,37
progress,president,36
progress,know,35
progress,country,26
progress,applause,23
prosperity,security,34
prosperity,american,32
prosperity,nation,30
prosperity,record,26
prosperity,poverty,25
prosperity,return,25
prosperity,work,24
prosperity,peace,23
prosperity,economic,22
prosperity,future,22
innovation,american,12
innovation,technology,9
innovation,future,6
innovation,act,5
innovation,states,5
innovation,administration,5
innovation,governor,5
innovation,like,4
innovation,pro,4
innovation,growth,4
future,great,151
future,america,98
future,people,87
future,american,85
future,applause,82
future,country,77
future,americans,76
future,bright,75
future,nation,72
future,president,64
hope,hopefully,328
hope,great,170
hope,people,152
hope,know,147
hope,think,127
hope,president,123
hope,use,113
hope,right,105
hope,country,100
hope,want,97
advancement,american,3
advancement,health,3
advancement,education,2
advancement,citizen,2
advancement,incredible,2
advancement,people,2
advancement,disparity,2
advancement,thrive,2
advancement,educational,2
advancement,come,2
vision,television,333
vision,provision,235
vision,division,121
vision,order,98
vision,great,96
vision,watch,84
vision,know,80
vision,president,79
vision,section,70
vision,people,67
american,americans,2336
american,people,963
american,great,773
american,african,768
american,applause,758
american,country,639
american,hispanic,604
american,year,544
american,president,495
american,want,489
national,security,286
national,president,185
national,international,181
